id,SUBURB,BOX-CODE,STR-CODE,AREA
12737,NORKEM PARK UIT,,1618,KEMPTON PARK
12738,NORKEM PARK EXT 1,,1618,KEMPTON PARK
12739,NORKEM PARK UIT 1,,1618,KEMPTON PARK
12740,NORKEM PARK EXT 2,,1618,KEMPTON PARK
12741,NORKEM PARK UIT 2,,1618,KEMPTON PARK
12742,NORKEM PARK EXT 3,,1618,KEMPTON PARK
12743,NORKEM PARK UIT 3,,1618,KEMPTON PARK
12744,NORKEM PARK EXT 4,,1618,KEMPTON PARK
12745,NORKEM PARK UIT 4,,1618,KEMPTON PARK
12746,NORLIM,8583,8583,TAUNG STATION
12747,NORMANDI,,7570,KRAAIFONTEIN
12748,NORMANDIEN,2940,,NEWCASTLE
12749,NORMANVILLE,,6059,PORT ELIZABETH
12750,NORSCOT,2055,2196,JOHANNESBURG
12751,NORSCOT EXT 1,,2196,SANDTON
12752,NORSCOT UIT 1,,2196,SANDTON
12753,NORTH BANK,,5201,EAST LONDON
12754,NORTH BEACH,4063,4001,DURBAN
12755,NORTH CREST,5101,5100,MTHATHA
12756,NORTH END,6056,6001,PORT ELIZABETH
12757,NOORDEINDE,6056,6001,PORT ELIZABETH
12758,NORTH END,,5201,EAST LONDON
12759,NOORDEINDE,,5201,EAST LONDON
12760,NORTH GATE,,7500,PAROW
12761,NORTH GATE EST,,7500,PAROW
12762,NORTH GATE LGD,,7500,PAROW
12763,NORTH PAARL,7623,7646,PAARL
12764,NOORDER-PAARL,7623,7646,PAARL
12765,NORTH PINE,,7560,BRACKENFELL
12766,NORTH RIDING,2162,2188,OLIVEDALE
12767,NORTH RIDING EXT 1,2162,2169,NORTH RIDING
12768,NORTH RIDING UIT 1,2162,2169,NORTH RIDING
12769,NORTH RIDING EXT 11,,2188,NORTH RIDING
12770,NORTH RIDING UIT 11,,2188,NORTH RIDING
12771,NORTH RIDING EXT 2,2162,2169,NORTH RIDING
12772,NORTH RIDING UIT 2,2162,2169,NORTH RIDING
12773,NORTH RIDING EXT 22,2162,2188,NORTH RIDING
12774,NORTH RIDING UIT 22,2162,2188,NORTH RIDING
12775,NORTH RIDING EXT 37,2162,2188,NORTH RIDING
12776,NORTH RIDING UIT 37,2162,2188,NORTH RIDING
12777,NORTH RIDING EXT 4,2162,2169,NORTH RIDING
12778,NORTH RIDING UIT 4,2162,2169,NORTH RIDING
12779,NORTH RIDING EXT 6,2162,2169,NORTH RIDING
12780,NORTH RIDING UIT 6,2162,2169,NORTH RIDING
12781,NORTH RIDING EXT 79,2162,2169,NORTH RIDING
12782,NORTH RIDING UIT 79,2162,2169,NORTH RIDING
12783,NORTH RIDING EXT 83,2162,2194,NORTH RIDING
12784,NORTH RIDING UIT 83,2162,2194,NORTH RIDING
12785,NORTH RIDING EXT 86,2162,2188,NORTH RIDING
12786,NORTH RIDING UIT 86,2162,2188,NORTH RIDING
12787,NORTH RIDING EXT 93,,2194,NORTH RIDING
12788,NORTH RIDING UIT 93,,2194,NORTH RIDING
12789,NORTH SHORE EST,,7806,CONSTANTIA
12790,NORTH SHORE LGD,,7806,CONSTANTIA
12791,NORTH VILLA,,1501,BENONI
12792,NORTHAM,360,360,RUSTENBURG
12793,NORTHCLIFF,2115,2195,JOHANNESBURG
12794,NORTHCLIFF,,7200,HERMANUS
12795,NORTHCLIFF EXT 1,,2195,JOHANNESBURG
12796,NORTHCLIFF UIT 1,,2195,JOHANNESBURG
12797,NORTHCLIFF EXT 10,,2195,JOHANNESBURG
12798,NORTHCLIFF UIT 10,,2195,JOHANNESBURG
12799,NORTHCLIFF EXT 11,,2195,JOHANNESBURG
12800,NORTHCLIFF UIT 11,,2195,JOHANNESBURG
12801,NORTHCLIFF EXT 12,,2195,JOHANNESBURG
12802,NORTHCLIFF UIT 12,,2195,JOHANNESBURG
12803,NORTHCLIFF EXT 13,,2195,JOHANNESBURG
12804,NORTHCLIFF UIT 13,,2195,JOHANNESBURG
12805,NORTHCLIFF EXT 14,,2195,JOHANNESBURG
12806,NORTHCLIFF UIT 14,,2195,JOHANNESBURG
12807,NORTHCLIFF EXT 15,,2195,JOHANNESBURG
12808,NORTHCLIFF UIT 15,,2195,JOHANNESBURG
12809,NORTHCLIFF EXT 16,,2195,JOHANNESBURG
12810,NORTHCLIFF UIT 16,,2195,JOHANNESBURG
12811,NORTHCLIFF EXT 17,,2195,JOHANNESBURG
12812,NORTHCLIFF UIT 17,,2195,JOHANNESBURG
12813,NORTHCLIFF EXT 18,,2195,JOHANNESBURG
12814,NORTHCLIFF UIT 18,,2195,JOHANNESBURG
12815,NORTHCLIFF EXT 19,,1709,FLORIDA
12816,NORTHCLIFF UIT 19,,1709,FLORIDA
12817,NORTHCLIFF EXT 2,,2195,JOHANNESBURG
12818,NORTHCLIFF UIT 2,,2195,JOHANNESBURG
12819,NORTHCLIFF EXT 20,,1709,FLORIDA
12820,NORTHCLIFF UIT 20,,1709,FLORIDA
12821,NORTHCLIFF EXT 21,,2195,JOHANNESBURG
12822,NORTHCLIFF UIT 21,,2195,JOHANNESBURG
12823,NORTHCLIFF EXT 22,,2195,JOHANNESBURG
12824,NORTHCLIFF UIT 22,,2195,JOHANNESBURG
12825,NORTHCLIFF EXT 23,,2195,JOHANNESBURG
12826,NORTHCLIFF UIT 23,,2195,JOHANNESBURG
12827,NORTHCLIFF EXT 25,,1709,FLORIDA
12828,NORTHCLIFF UIT 25,,1709,FLORIDA
12829,NORTHCLIFF EXT 26,,2195,JOHANNESBURG
12830,NORTHCLIFF UIT 26,,2195,JOHANNESBURG
12831,NORTHCLIFF EXT 3,,2195,JOHANNESBURG
12832,NORTHCLIFF UIT 3,,2195,JOHANNESBURG
12833,NORTHCLIFF EXT 33,2115,1709,JOHANNESBURG
12834,NORTHCLIFF UIT 33,2115,1709,JOHANNESBURG
12835,NORTHCLIFF EXT 4,,2195,JOHANNESBURG
12836,NORTHCLIFF UIT 4,,2195,JOHANNESBURG
12837,NORTHCLIFF EXT 5,,2195,JOHANNESBURG
12838,NORTHCLIFF UIT 5,,2195,JOHANNESBURG
12839,NORTHCLIFF EXT 6,,2195,JOHANNESBURG
12840,NORTHCLIFF UIT 6,,2195,JOHANNESBURG
12841,NORTHCLIFF EXT 7,,2195,JOHANNESBURG
12842,NORTHCLIFF UIT 7,,2195,JOHANNESBURG
12843,NORTHCLIFF EXT 8,,2195,JOHANNESBURG
12844,NORTHCLIFF UIT 8,,2195,JOHANNESBURG
12845,NORTHCLIFF EXT 9,,2195,JOHANNESBURG
12846,NORTHCLIFF UIT 9,,2195,JOHANNESBURG
12847,NORTHCLIFF VIEW,,2195,JOHANNESBURG
12848,NORTHCROFT,,4068,PHOENIX
12849,NORTHDALE,,1739,KRUGERSDORP
12850,NORTHDALE,,3201,PIETERMARITZBURG
12851,NORTHDALE DAM,,4399,TONGAAT
12852,NORTHDENE,4064,4093,DURBAN
12853,NORTHDENE,,2499,CARLETONVILLE
12854,NORTHDENE,,1911,VANDERBIJLPARK
12855,NORTHDENE PARK,,4093,QUEENSBURGH
12856,NORTHERN ACRES,,2196,JOHANNESBURG
12857,NORTHERN PAARL,7623,7646,PAARL
12858,PAARL NORTH,7623,7646,PAARL
12859,NORTHERN PARK,,3201,PIETERMARITZBURG
12860,NORTHGATE,2162,2188,OLIVEDALE
12861,NORTHGATE EXT,2162,2188,OLIVEDALE
12862,NORTHGATE UIT,2162,2188,OLIVEDALE
12863,NORTHGATE EXT 29,2162,2188,OLIVEDALE
12864,NORTHGATE UIT 29,2162,2188,OLIVEDALE
12865,NORTHLANDS,2116,,JOHANNESBURG
12866,NORTHLANDS PARK,,4449,STANGER
12867,NORTHMEAD,1511,1501,BENONI
12868,NORTHMEAD EXT 1,,1501,BENONI
12869,NORTHMEAD UIT 1,,1501,BENONI
12870,NORTHMEAD EXT 14,,1501,BENONI
12871,NORTHMEAD UIT 14,,1501,BENONI
12872,NORTHMEAD EXT 17,,1501,BENONI
12873,NORTHMEAD UIT 17,,1501,BENONI
12874,NORTHMEAD EXT 2,,1501,BENONI
12875,NORTHMEAD UIT 2,,1501,BENONI
12876,NORTHMEAD EXT 3,,1501,BENONI
12877,NORTHMEAD UIT 3,,1501,BENONI
12878,NORTHMEAD EXT 4,,1501,BENONI
12879,NORTHMEAD UIT 4,,1501,BENONI
12880,NORTHMEAD EXT 6,,1501,BENONI
12881,NORTHMEAD UIT 6,,1501,BENONI
12882,NORTHMEAD EXT 7,,1501,BENONI
12883,NORTHMEAD UIT 7,,1501,BENONI
12884,NORTHMEAD EXT 8,,1501,BENONI
12885,NORTHMEAD UIT 8,,1501,BENONI
12886,NORTHMEAD EXT 9,,1501,BENONI
12887,NORTHMEAD UIT 9,,1501,BENONI
12888,NORTHRIDGE PARK,4162,,DURBAN
12889,NORTHVIEW,,8301,KIMBERLEY
12890,NORTHWAY,4065,4051,DURBAN
12891,NORTHWOLD,2155,2188,JOHANNESBURG
12892,NORTHWOLD EXT 1,2155,2188,JOHANNESBURG
12893,NORTHWOLD UIT 1,2155,2188,JOHANNESBURG
12894,NORTHWOLD EXT 11,2155,2188,JOHANNESBURG
12895,NORTHWOLD UIT 11,2155,2188,JOHANNESBURG
12896,NORTHWOLD EXT 12,2155,2188,JOHANNESBURG
12897,NORTHWOLD UIT 12,2155,2188,JOHANNESBURG
12898,NORTHWOLD EXT 13,2155,2188,JOHANNESBURG
12899,NORTHWOLD UIT 13,2155,2188,JOHANNESBURG
12900,NORTHWOLD EXT 15,2155,2188,JOHANNESBURG
12901,NORTHWOLD UIT 15,2155,2188,JOHANNESBURG
12902,NORTHWOLD EXT 17,2155,2188,JOHANNESBURG
12903,NORTHWOLD UIT 17,2155,2188,JOHANNESBURG
12904,NORTHWOLD EXT 2,2155,2188,JOHANNESBURG
12905,NORTHWOLD UIT 2,2155,2188,JOHANNESBURG
12906,NORTHWOLD EXT 20,2155,2188,JOHANNESBURG
12907,NORTHWOLD UIT 20,2155,2188,JOHANNESBURG
12908,NORTHWOLD EXT 21,2155,2188,NORTHWOLD
12909,NORTHWOLD UIT 21,2155,2188,NORTHWOLD
12910,NORTHWOLD EXT 23,2155,2188,JOHANNESBURG
12911,NORTHWOLD UIT 23,2155,2188,JOHANNESBURG
12912,NORTHWOLD EXT 24,2155,2188,JOHANNESBURG
12913,NORTHWOLD UIT 24,2155,2188,JOHANNESBURG
12914,NORTHWOLD EXT 4,2155,2188,JOHANNESBURG
12915,NORTHWOLD UIT 4,2155,2188,JOHANNESBURG
12916,NORTHWOLD EXT 40,2155,2188,JOHANNESBURG
12917,NORTHWOLD UIT 40,2155,2188,JOHANNESBURG
12918,NORTHWOLD EXT 44,2155,2188,JOHANNESBURG
12919,NORTHWOLD UIT 44,2155,2188,JOHANNESBURG
12920,NORTHWOLD EXT 5,2155,2188,JOHANNESBURG
12921,NORTHWOLD UIT 5,2155,2188,JOHANNESBURG
12922,NORTHWOLD EXT 6,2155,2188,JOHANNESBURG
12923,NORTHWOLD UIT 6,2155,2188,JOHANNESBURG
12924,NORTHWOLD EXT 8,2155,2188,JOHANNESBURG
12925,NORTHWOLD UIT 8,2155,2188,JOHANNESBURG
12926,NORTON,,1401,GERMISTON
12927,NORTON SQUARE,,7441,MILNERTON
12928,NORVALSPONT,9797,9797,COLESBERG
12929,NORWOOD,2117,2192,JOHANNESBURG
12930,NORWOOD,,5100,MTHATHA
12931,NORWOOD EST,,7490,ELSIES RIVER
12932,NORWOOD LGD,,7490,ELSIES RIVER
12933,NOSHEZI,3200,,PIETERMARITZBURG
12934,NOTINTSILA,5160,,LIBODE
12935,NOTTINGHAM ROAD,3280,,ESTCOURT
12936,NOTTINGHAMWEG,3280,,ESTCOURT
12937,NOUPOORT,5950,5950,NOUPOORT
12938,NOURIVIER,8252,,KAMIESKROON
12939,NOVA CONSTANTIA,,7806,CONSTANTIA
12940,NOVUKA,3227,,IMPENDLE
12941,NOXOWA,5160,,LIBODE
12942,NOYCEDALE,,1491,NIGEL
12943,NOZAMBULA,3915,,KWAMBONAMBI
12944,NQABENI,4682,,PORT SHEPSTONE
12945,NQADU,5020,,
12946,NQADU GREAT PLACE,5035,,MTHATHA
12947,NQAMAKWE,4990,4990,NQAMAKWE
12948,NQANCULE,4990,,NQAMAKWE
12949,NQETHO,3651,,PINETOWN
12950,NQOLOZA,5380,,COFIMVABA
12951,NQUBELA,6704,6705,ROBERTSON
12952,NQUMAKALA,5400,,TSOMO
12953,NQUTU,3135,,
12954,NQUTYANA,5119,,-
12955,NSAVULANI,842,,GIYANI
12956,NSELENI,3882,,EMPANGENI
12957,NSHONGWENI,3690,,HAMMARSDALE
12958,NSIKAZI,1240,1240,HAZYVIEW
12959,NSILIGWANE,3170,,PONGOLA
12960,NSINGANE,4470,,STANGER
12961,NSINGWENI,3806,,GINGINDLOVU
12962,NSISWAKAZI,3609,,PINETOWN
12963,NSIZWANE,1345,,KOMATIPOORT
12964,NSUZE,4400,4399,TONGAAT
12965,NTABAMHLOPHE,3318,,
12966,NTABANKULU,4816,,-
12967,NTABASKOP,4342,,NDWEDWE
12968,NTABATHEMBA,5365,,CRADOCK
12969,NTABAZIMBI SECTION,1421,1426,TOKOZA
12970,NTABAZIMBI SEKSIE,1421,1426,TOKOZA
12971,NTABEBOMVU,3135,,NQUTU
12972,NTABENCUKA,5160,,LIBODE
12973,NTABENGADLINKOMO,4800,,BIZANA
12974,NTABENI,4342,,NDWEDWE
12975,NTABENI,307,,RUSTENBURG
12976,NTABODULI,5180,,QUMBU
12977,NTAMBANANI,3880,,EMPANGENI
12978,NTANGENI,4800,,BIZANA
12979,NTHA,,9630,LINDLEY
12980,NTHUTHUKOVILLE,3200,,PIETERMARITZBURG
12981,NTIBANE,5150,,NGQELENI
12982,NTILE,5120,,PORT ST JOHNS
12983,NTLAFATSONG,9476,,ODENDAALSRUS
12984,NTLAMVUKAZI,4800,,BIZANA
12985,NTLANGANO,,5180,QUMBU
12986,NTLANGWINI,4742,,MALUTI
12987,NTLANZAME,,1818,TSHIAWELO
12988,NTLANZINI,5040,,WILLOWVALE
12989,NTLAZA,5114,,MTHATHA
12990,NTLENZI,4810,,FLAGSTAFF
12991,NTLOLOANE,776,,POLOKWANE
12992,NTLOZELO,4800,,BIZANA
12993,NTOKOZWENI,4089,4066,UMLAZI
12994,NTOKOZWENI F6,4089,,UMLAZI
12995,NTOKOZWENI H2,4089,,UMLAZI
12996,NTOKOZWENI SECTION D,4089,4066,UMLAZI
12997,NTOKOZWENI SEKSIE D,4089,4066,UMLAZI
12998,NTOKOZWENI SECTION F,,4066,NTOKOZWENI
12999,NTOKOZWENI SEKSIE F,,4066,NTOKOZWENI
13000,NTOKOZWENI SECTION Q,4089,4066,UMLAZI
13001,NTOKOZWENI SEKSIE Q,4089,4066,UMLAZI
13002,NTOKOZWENI SECTION S,,4066,UMLAZI
13003,NTOKOZWENI SEKSIE S,,4066,UMLAZI
13004,NTOKOZWENI SECTION T,4089,4066,UMLAZI
13005,NTOKOZWENI SEKSIE T,4089,4066,UMLAZI
13006,NTOLA,4810,,FLAGSTAFF
13007,NTONDWENI,3935,,MTUBATUBA
13008,NTSAKA,5100,,MTHATHA
13009,NTSESHA,4990,,NQAMAKWE
13010,NTSHIDI,3880,,EMPANGENI
13011,NTSHILINI,5100,,MTHATHA
13012,NTSHINTSHI,5380,,COFIMVABA
13013,NTSIMA,711,,POLOKWANE
13014,NTSIMBAKAZI,5000,,IDUTYWA
13015,NTSIMBINI,5123,,-
13016,NTSINGISI,4800,,BIZANA
13017,NTSITO,5400,,TSOMO
13018,NTSIZWA,4736,,MOUNT AYLIFF
13019,NTSUBANE,4820,,LUSIKISIKI
13020,NTSUNDWANE,5160,,LIBODE
13021,NTSWANATSATI,9850,,CORNELIA
13022,NTSWELETSOKU,2891,,ZEERUST
13023,NTUKUSWENI,3680,,CATO RIDGE
13024,NTUMENI,3830,,ESHOWE
13025,NTUNDA,1330,,-
13026,NTUNJAMBILI,3282,,KRANSKOP
13027,NTUTHUKOVILLE,3200,,PIETERMARITZBURG
13028,NTUZE,3867,,MTUNZINI
13029,NTUZUMA,4360,4359,KWAMASHU
13030,NTUZUMA,4032,,KWAZIMELE
13031,NTUZUMA E,4032,4359,KWAMASHU
13032,NTUZUMA G,4032,4359,KWAMASHU
13033,NTUZUMA H,4360,4359,KWAMASHU
13034,NTUZUMA H2,4360,4359,KWAMASHU
13035,NTUZUMA H3,4360,4359,KWAMASHU
13036,NTYWENKA,5170,,TSOLO
13037,NUCAM,2355,2355,ERMELO
13038,NUFFIELD,,1559,SPRINGS
13039,NUMBI,1248,,NELSPRUIT
13040,NUWE LANGERUG,,6850,WORCESTER
13041,NUWE-SMITSDORP,706,,POLOKWANE
13042,NUWEDORP,,7345,DARLING
13043,NUWEDORPSGEBIED,,8301,KIMBERLEY
13044,NUWERUS,8201,,BITTERFONTEIN
13045,NUWERUS,,5319,QUEENSTOWN
13046,NWAMANKENA,915,,GIYANI
13047,NWAMANUNGU,932,932,GIYANI
13048,NWAMITWA,871,871,TZANEEN
13049,NXAMAGELE,5000,,IDUTYWA
13050,NXAMALALA,3200,,PIETERMARITZBURG
13051,NXAXO,4960,,BUTTERWORTH
13052,NYAKALLONG,9492,9490,ALLANRIDGE
13053,NYAKANE,9661,,BOTHAVILLE
13054,NYALA PARK EXT 21,,3880,EMPANGENI
13055,NYALAPARK UIT 21,,3880,EMPANGENI
13056,NYANDANA,5204,,EAST LONDON
13057,NYANDENI,5164,,LIBODE
13058,NYANGA,7755,7750,CAPE TOWN
13059,NYANGA EAST,,7750,NYANGA
13060,NYANGA-OOS,,7750,NYANGA
13061,NYANGA JUNCTION,7756,,GUGULETU
13062,NYANISO,4751,,MAGADLA
13063,NYANISWENI,5185,,QUMBU
13064,NYANYADU,3004,,DUNDEE
13065,NYEWENI,5096,,MOUNT FRERE
13066,NYIDLANA,4990,,NQAMAKWE
13067,NYLPARK,600,,-
13068,NYLSTROOM,510,510,WATERBERG
13069,NYLSTROOM EXT 11,510,510,NYLSTROOM
13070,NYLSTROOM UIT 11,510,510,NYLSTROOM
13071,NYLSTROOM EXT 8,510,510,NYLSTROOM
13072,NYLSTROOM UIT 8,510,510,NYLSTROOM
13073,NYOKANA,5040,,WILLOWVALE
13074,NYONGANE,1249,,NELSPRUIT
13075,NYONI,3802,,MANDENI
13076,NYULULA,4990,,NQAMAKWE
13077,NYUMAGA,4960,,BUTTERWORTH
13078,NYUSWA,3660,,BOTHAS HILL
13079,NYWARA,5000,,IDUTYWA
13080,NZHELELE,993,993,SIBASA
13081,NZHELELE VILLAGE,993,993,SIBASA
13082,NZIMAKAZI,3856,,MAHLABATINI
13083,NZOKHULAYO,4242,,NDWEDWE
13084,NZOMBANE,3298,,UMZIMKHULU
13085,NZULENI SECTION,,1550,TSAKANE
13086,O'KENNEDYVILLE,,7550,DURBANVILLE
13087,OAK GLEN,,7530,BELLVILLE
13088,OAK GROVE,5380,,COFIMVABA
13089,OAK PARK,,3201,PIETERMARITZBURG
13090,OAK VIEW,,3201,PIETERMARITZBURG
13091,OAKDALE EST,,7530,BELLVILLE
13092,OAKDALE LGD,,7530,BELLVILLE
13093,OAKDENE,,7580,KUILS RIVER
13094,OAKDENE,,2190,JOHANNESBURG
13095,OAKDENE EXT 1,,2190,JOHANNESBURG
13096,OAKDENE UIT 1,,2190,JOHANNESBURG
13097,OAKDENE EXT 2,,2190,JOHANNESBURG
13098,OAKDENE UIT 2,,2190,JOHANNESBURG
13099,OAKLANDS,4345,4339,VERULAM
13100,OAKLANDS,3604,,NAGINA
13101,OAKLANDS,,1739,KRUGERSDORP
13102,OAKLANDS,,2192,JOHANNESBURG
13103,OAKMORE EXT 7,1635,,TEMBISA
13104,OAKMORE UIT 7,1635,,TEMBISA
13105,OAKRIDGE,,7806,CONSTANTIA
13106,OAKRIDGE EST,,7806,CONSTANTIA
13107,OAKRIDGE LGD,,7806,CONSTANTIA
13108,OAKTREE,,1739,KRUGERSDORP
13109,OAKVILLE,5170,,TSOLO
13110,OATLANDS,,1739,KRUGERSDORP
13111,OATLANDS,,6139,GRAHAMSTOWN
13112,OATLANDS NORTH,,6139,
13113,OATLANDS-NOORD,,6139,
13114,OATLANDS SIHS,,1739,KRUGERSDORP
13115,OATLANDS KHW,,1739,KRUGERSDORP
13116,OBANJENI,3867,,MTUNZINI
13117,OBERHOLZER,2502,2499,CARLETONVILLE
13118,OBERHOLZER EXT 1,,2499,CARLETONVILLE
13119,OBERHOLZER UIT 1,,2499,CARLETONVILLE
13120,OBERHOLZER EXT 9,,2499,CARLETONVILLE
13121,OBERHOLZER UIT 9,,2499,CARLETONVILLE
13122,OBSERVATION HILL,,3370,LADYSMITH
13123,OBSERVATORY,7935,7925,CAPE TOWN
13124,OBSERVATORY,2187,2198,JOHANNESBURG
13125,OBSERVATORY EXT,,2198,JOHANNESBURG
13126,OBSERVATORY UIT,,2198,JOHANNESBURG
13127,OCEAN DRIVE IN,,4399,TONGAAT
13128,OCEAN PEAKS,,7140,GORDON'S BAY
13129,OCEAN VIEW,,4449,STANGER
13130,OCEAN VIEW,,7975,FISH HOEK
13131,OCEAN VIEW,,5247,EAST LONDON
13132,OCEAN VIEW,,4052,DURBAN
13133,ODEKE,4227,,UMZUMBE
13134,ODENDAALSRUS,9480,9480,ODENDAALSRUS
13135,ODENDAALSRUS CENTRAL,9481,,ODENDAALSRUS
13136,ODENDAALSRUS EXT,,9480,ODENDAALSRUS
13137,ODENDAALSRUS UIT,,9480,ODENDAALSRUS
13138,ODENDAALSRUS EXT 1,,9480,ODENDAALSRUS
13139,ODENDAALSRUS UIT 1,,9480,ODENDAALSRUS
13140,ODENDAALSRUS EXT 2,9480,9480,ODENDAALSRUS
13141,ODENDAALSRUS UIT 2,9480,9480,ODENDAALSRUS
13142,ODIDINI,4105,,UMBUMBULU
13143,ODIN PARK,1825,1830,ENNERDALE
13144,ODIN PARK EXT 9,,1830,LENASIA
13145,ODIN PARK UIT 9,,1830,LENASIA
13146,ODINBURG,205,190,MABOPANE
13147,ODLAMENI,3233,,WARTBURG
13148,OERDERPARK,,2194,JOHANNESBURG
13149,OEWERSIG,,2531,POTCHEFSTROOM
13150,OFCOLACO,854,854,TZANEEN
13151,OGAGWINI,4105,,UMBUMBULU
13152,OGIES,2230,2230,WITBANK
13153,OGWINI,4188,,-
13154,OHLANGE,4310,4309,INANDA
13155,OHRIGSTAD,1122,,LYDENBURG
13156,OHWEBEDE,4490,,MANDENI
13157,OK MALL,4275,,MARGATE
13158,OKAVANGO PARK,,7560,BRACKENFELL
13159,OKIEP,8270,,-
13160,OLA COMPETITION,2171,,JOHANNESBURG
13161,OLD BELVIDERE,,6571,KNYSNA
13162,OLD BLACK TSP,5460,,ELLIOT
13163,OLD BLACK DGD,5460,,ELLIOT
13164,OLD BUNTING,5160,,LIBODE
13165,OLD CROSS ROADS,,7750,KHAYELITSHA
13166,OLD LOCATION,,1426,TOKOZA
13167,OLD LOCATION,5425,5425,STERKSTROOM
13168,OLD LOCATION,5850,,SOMERSET EAST
13169,OLD MORLEY,5084,,MQANDULI
13170,OLD OAK,7537,7530,BELLVILLE
13171,OLD PLACE,,6571,KNYSNA
13172,OLD ST FAITHS,4235,,UMTENTWENI
13173,OLD TOWN,,5920,STEYNSBURG
13174,OLIENHOUT PARK,2865,2865,ZEERUST
13175,OLIENHOUTPARK,2865,2865,ZEERUST
13176,OLIEVENHOUTBOSCH,175,187,CENTURION
13177,OLIEVENHOUTBOSCH EXT 13,,187,CENTURION
13178,OLIEVENHOUTBOSCH UIT 13,,187,CENTURION
13179,OLIEVENHOUTBOSCH EXT 18,,187,CENTURION
13180,OLIEVENHOUTBOSCH UIT 18,,187,CENTURION
13181,OLIEVENHOUTBOSCH EXT 19,175,187,CENTURION
13182,OLIEVENHOUTBOSCH UIT 19,175,187,CENTURION
13183,OLIEVENHOUTBOSCH EXT 20,,187,CENTURION
13184,OLIEVENHOUTBOSCH UIT 20,,187,CENTURION
13185,OLIEVENHOUTBOSCH EXT 23,,187,CENTURION
13186,OLIEVENHOUTBOSCH UIT 23,,187,CENTURION
13187,OLIEVENHOUTBOSCH EXT 24,,187,CENTURION
13188,OLIEVENHOUTBOSCH UIT 24,,187,CENTURION
13189,OLIEVENHOUTBOSCH EXT 25,,187,CENTURION
13190,OLIEVENHOUTBOSCH UIT 25,,187,CENTURION
13191,OLIEVENHOUTBOSCH EXT 26,,187,CENTURION
13192,OLIEVENHOUTBOSCH UIT 26,,187,CENTURION
13193,OLIEVENHOUTBOSCH EXT 36,,187,CENTURION
13194,OLIEVENHOUTBOSCH UIT 36,,187,CENTURION
13195,OLIEVENHOUTBOSCH EXT 37,,187,CENTURION
13196,OLIEVENHOUTBOSCH UIT 37,,187,CENTURION
13197,OLIFANTSFONTEIN,1665,1666,MIDRAND
13198,OLIFANTSHOEK,8450,8450,-
13199,OLIVANNA,,1739,KRUGERSDORP
13200,OLIVEDALE,2158,2188,JOHANNESBURG
13201,OLIVEDALE EXT 1,2158,2188,JOHANNESBURG
13202,OLIVEDALE UIT 1,2158,2188,JOHANNESBURG
13203,OLIVEDALE EXT 2,2158,2188,JOHANNESBURG
13204,OLIVEDALE UIT 2,2158,2188,JOHANNESBURG
13205,OLIVEDALE EXT 21,,2188,JOHANNESBURG
13206,OLIVEDALE UIT 21,,2188,JOHANNESBURG
13207,OLIVEDALE EXT 3,2158,2188,JOHANNESBURG
13208,OLIVEDALE UIT 3,2158,2188,JOHANNESBURG
13209,OLIVEDALE EXT 30,2158,2188,JOHANNESBURG
13210,OLIVEDALE UIT 30,2158,2188,JOHANNESBURG
13211,OLIVEDALE EXT 7,2158,2188,JOHANNESBURG
13212,OLIVEDALE UIT 7,2158,2188,JOHANNESBURG
13213,OLIVER TAMBO PARK,,7655,MBEKWENI
13214,OLIVINE EST,,7780,LANSDOWNE
13215,OLIVINE LGD,,7780,LANSDOWNE
13216,OLYMPUS,,81,MENLO PARK
13217,ON THE BAY,,7798,
13218,ONDER-SMOORDRIF,5827,,-
13219,ONDERPAPEGAAIBERG,,7600,STELLENBOSCH
13220,ONDERSTEPOORT,110,,PRETORIA
13221,ONDINI,4348,,-
13222,ONGEGUND,,7380,VREDENBURG
13223,ONGOYE,3886,,KWADLANGEZWA
13224,ONRUS RIVER,7201,7201,HERMANUS
13225,ONRUSRIVIER,7201,7201,HERMANUS
13226,ONSEEPKANS,8892,,POFADDER
13227,ONTDEKKERS EXT 3,,1724,-
13228,ONTDEKKERS UIT 3,,1724,-
13229,ONTDEKKERSPARK,,1709,FLORIDA
13230,ONVERWACHT,557,557,ELLISRAS
13231,ONVERWAGHT,,7140,STRAND
13232,ONZE MOLEN,,7550,DURBANVILLE
13233,OOSPOORT,,2094,JOHANNESBURG
13234,OOSPOORT EXT 1,,2094,JOHANNESBURG
13235,OOSPOORT UIT 1,,2094,JOHANNESBURG
13236,OOSTE PLOT,,1759,RANDFONTEIN
13237,OOSTERGLOED,,7250,RIVIERSONDEREND
13238,OOSTERSEE,,7500,PAROW
13239,OOSTERVILLE,,8801,UPINGTON
13240,OOSTERVILLE EXT 17,,8801,UPINGTON
13241,OOSTERVILLE UIT 17,,8801,UPINGTON
13242,OPHANSI,3979,,MKUZE
13243,OPHIR ESTATES,,1961,MEYERTON
13244,OPHIR LANDGOED,,1961,MEYERTON
13245,OPHIRTON,,2091,JOHANNESBURG
13246,OPHOKWENI,3680,,CATO RIDGE
13247,OPKOMS,,9301,BLOEMFONTEIN
13248,OPPENHEIMER PARK,,9463,MOTSETHABONG
13249,OPPERHEIMER PARK,,9463,MOTSETHABONG
13250,OPPERMANS,9987,,KOFFIEFONTEIN
13251,OPWAG,8851,,GROBLERSHOOP
13252,OQADENI,4450,4449,STANGER
